threshold=(0, 0), ssim=0.995613, orig=133016, zlib=2459, bz2=1666, lzma=1820, jpeg=18817
threshold=(0, 10), ssim=0.995537, orig=133016, zlib=2475, bz2=1704, lzma=1836, jpeg=18846
threshold=(0, 20), ssim=0.995541, orig=133016, zlib=2489, bz2=1710, lzma=1832, jpeg=18823
threshold=(0, 30), ssim=0.995532, orig=133016, zlib=2469, bz2=1745, lzma=1840, jpeg=18777
threshold=(0, 40), ssim=0.995568, orig=133016, zlib=2427, bz2=1692, lzma=1768, jpeg=18707
threshold=(0, 50), ssim=0.995793, orig=133016, zlib=2238, bz2=1561, lzma=1608, jpeg=18593
threshold=(0, 60), ssim=0.995891, orig=133016, zlib=2128, bz2=1550, lzma=1508, jpeg=18464
threshold=(0, 70), ssim=0.995930, orig=133016, zlib=2072, bz2=1480, lzma=1452, jpeg=18418
threshold=(0, 80), ssim=0.995971, orig=133016, zlib=1924, bz2=1412, lzma=1340, jpeg=18310
threshold=(0, 90), ssim=0.995898, orig=133016, zlib=1680, bz2=1199, lzma=1108, jpeg=18127
threshold=(0, 100), ssim=0.994621, orig=133016, zlib=1163, bz2=762, lzma=784, jpeg=17705
threshold=(10, 10), ssim=0.995537, orig=132896, zlib=2417, bz2=1672, lzma=1812, jpeg=18731
threshold=(10, 20), ssim=0.995541, orig=132896, zlib=2458, bz2=1695, lzma=1824, jpeg=18729
threshold=(10, 30), ssim=0.995532, orig=132896, zlib=2436, bz2=1707, lzma=1836, jpeg=18691
threshold=(10, 40), ssim=0.995568, orig=132896, zlib=2394, bz2=1670, lzma=1768, jpeg=18628
threshold=(10, 50), ssim=0.995793, orig=132896, zlib=2219, bz2=1534, lzma=1608, jpeg=18515
threshold=(10, 60), ssim=0.995891, orig=132896, zlib=2106, bz2=1544, lzma=1484, jpeg=18396
threshold=(10, 70), ssim=0.995930, orig=132896, zlib=2046, bz2=1485, lzma=1424, jpeg=18350
threshold=(10, 80), ssim=0.995971, orig=132896, zlib=1903, bz2=1367, lzma=1320, jpeg=18242
threshold=(10, 90), ssim=0.995898, orig=132896, zlib=1664, bz2=1195, lzma=1104, jpeg=18060
threshold=(10, 100), ssim=0.994621, orig=132896, zlib=1148, bz2=771, lzma=788, jpeg=17644
threshold=(20, 20), ssim=0.995541, orig=132688, zlib=2349, bz2=1647, lzma=1788, jpeg=18556
threshold=(20, 30), ssim=0.995532, orig=132688, zlib=2368, bz2=1656, lzma=1800, jpeg=18538
threshold=(20, 40), ssim=0.995568, orig=132688, zlib=2325, bz2=1614, lzma=1752, jpeg=18494
threshold=(20, 50), ssim=0.995793, orig=132688, zlib=2149, bz2=1492, lzma=1612, jpeg=18386
threshold=(20, 60), ssim=0.995891, orig=132688, zlib=2049, bz2=1488, lzma=1500, jpeg=18273
threshold=(20, 70), ssim=0.995930, orig=132688, zlib=1987, bz2=1418, lzma=1440, jpeg=18225
threshold=(20, 80), ssim=0.995971, orig=132688, zlib=1840, bz2=1313, lzma=1332, jpeg=18125
threshold=(20, 90), ssim=0.995898, orig=132688, zlib=1587, bz2=1149, lzma=1100, jpeg=17947
threshold=(20, 100), ssim=0.994621, orig=132688, zlib=1094, bz2=737, lzma=764, jpeg=17542
threshold=(30, 30), ssim=0.995532, orig=132496, zlib=2262, bz2=1587, lzma=1740, jpeg=18371
threshold=(30, 40), ssim=0.995568, orig=132496, zlib=2254, bz2=1571, lzma=1704, jpeg=18351
threshold=(30, 50), ssim=0.995793, orig=132496, zlib=2080, bz2=1470, lzma=1588, jpeg=18257
threshold=(30, 60), ssim=0.995891, orig=132496, zlib=1992, bz2=1459, lzma=1500, jpeg=18150
threshold=(30, 70), ssim=0.995930, orig=132496, zlib=1934, bz2=1367, lzma=1440, jpeg=18101
threshold=(30, 80), ssim=0.995971, orig=132496, zlib=1788, bz2=1331, lzma=1328, jpeg=18002
threshold=(30, 90), ssim=0.995898, orig=132496, zlib=1543, bz2=1118, lzma=1084, jpeg=17833
