threshold=(0, 0), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(0, 10), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(0, 20), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(0, 30), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(0, 40), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(0, 50), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(0, 60), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(0, 70), ssim=0.844388, orig=131736, zlib=8971, bz2=7594, lzma=7508, jpeg=21877
threshold=(0, 80), ssim=0.818978, orig=131736, zlib=8617, bz2=7335, lzma=7160, jpeg=21573
threshold=(0, 90), ssim=0.804927, orig=131736, zlib=7570, bz2=6384, lzma=6304, jpeg=20760
threshold=(0, 100), ssim=0.792314, orig=131736, zlib=5849, bz2=4678, lzma=4772, jpeg=19463
threshold=(10, 10), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(10, 20), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(10, 30), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(10, 40), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(10, 50), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(10, 60), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(10, 70), ssim=0.844388, orig=131736, zlib=8971, bz2=7594, lzma=7508, jpeg=21877
threshold=(10, 80), ssim=0.818978, orig=131736, zlib=8617, bz2=7335, lzma=7160, jpeg=21573
threshold=(10, 90), ssim=0.804927, orig=131736, zlib=7570, bz2=6384, lzma=6304, jpeg=20760
threshold=(10, 100), ssim=0.792314, orig=131736, zlib=5849, bz2=4678, lzma=4772, jpeg=19463
threshold=(20, 20), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(20, 30), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(20, 40), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(20, 50), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(20, 60), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(20, 70), ssim=0.844388, orig=131736, zlib=8971, bz2=7594, lzma=7508, jpeg=21877
threshold=(20, 80), ssim=0.818978, orig=131736, zlib=8617, bz2=7335, lzma=7160, jpeg=21573
threshold=(20, 90), ssim=0.804927, orig=131736, zlib=7570, bz2=6384, lzma=6304, jpeg=20760
threshold=(20, 100), ssim=0.792314, orig=131736, zlib=5849, bz2=4678, lzma=4772, jpeg=19463
threshold=(30, 30), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(30, 40), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(30, 50), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(30, 60), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(30, 70), ssim=0.844388, orig=131736, zlib=8971, bz2=7594, lzma=7508, jpeg=21877
threshold=(30, 80), ssim=0.818978, orig=131736, zlib=8617, bz2=7335, lzma=7160, jpeg=21573
threshold=(30, 90), ssim=0.804927, orig=131736, zlib=7570, bz2=6384, lzma=6304, jpeg=20760
threshold=(30, 100), ssim=0.792314, orig=131736, zlib=5849, bz2=4678, lzma=4772, jpeg=19463
threshold=(40, 40), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(40, 50), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(40, 60), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(40, 70), ssim=0.844388, orig=131736, zlib=8971, bz2=7594, lzma=7508, jpeg=21877
threshold=(40, 80), ssim=0.818978, orig=131736, zlib=8617, bz2=7335, lzma=7160, jpeg=21573
threshold=(40, 90), ssim=0.804927, orig=131736, zlib=7570, bz2=6384, lzma=6304, jpeg=20760
threshold=(40, 100), ssim=0.792314, orig=131736, zlib=5849, bz2=4678, lzma=4772, jpeg=19463
threshold=(50, 50), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(50, 60), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(50, 70), ssim=0.844388, orig=131736, zlib=8971, bz2=7594, lzma=7508, jpeg=21877
threshold=(50, 80), ssim=0.818978, orig=131736, zlib=8617, bz2=7335, lzma=7160, jpeg=21573
threshold=(50, 90), ssim=0.804927, orig=131736, zlib=7570, bz2=6384, lzma=6304, jpeg=20760
threshold=(50, 100), ssim=0.792314, orig=131736, zlib=5849, bz2=4678, lzma=4772, jpeg=19463
threshold=(60, 60), ssim=0.845334, orig=131736, zlib=9028, bz2=7643, lzma=7576, jpeg=21892
threshold=(60, 70), ssim=0.844388, orig=131736, zlib=8971, bz2=7594, lzma=7508, jpeg=21877
threshold=(60, 80), ssim=0.818978, orig=131736, zlib=8617, bz2=7335, lzma=7160, jpeg=21573
threshold=(60, 90), ssim=0.804927, orig=131736, zlib=7570, bz2=6384, lzma=6304, jpeg=20760
threshold=(60, 100), ssim=0.792314, orig=131736, zlib=5849, bz2=4678, lzma=4772, jpeg=19463
threshold=(70, 70), ssim=0.848594, orig=131688, zlib=8928, bz2=7542, lzma=7456, jpeg=21855
threshold=(70, 80), ssim=0.822843, orig=131688, zlib=8555, bz2=7289, lzma=7120, jpeg=21551
threshold=(70, 90), ssim=0.808810, orig=131688, zlib=7497, bz2=6330, lzma=6244, jpeg=20737
threshold=(70, 100), ssim=0.796206, orig=131688, zlib=5782, bz2=4628, lzma=4732, jpeg=19433
threshold=(80, 80), ssim=0.786497, orig=131480, zlib=7958, bz2=6843, lzma=6752, jpeg=21217
threshold=(80, 90), ssim=0.773063, orig=131480, zlib=6909, bz2=5909, lzma=5888, jpeg=20399
threshold=(80, 100), ssim=0.761800, orig=131480, zlib=5221, bz2=4264, lzma=4364, jpeg=19080
threshold=(90, 90), ssim=0.753766, orig=131280, zlib=6127, bz2=5194, lzma=5240, jpeg=19879
threshold=(90, 100), ssim=0.743240, orig=131280, zlib=4460, bz2=3613, lzma=3784, jpeg=18508
threshold=(100, 100), ssim=0.736463, orig=131072, zlib=2922, bz2=2251, lzma=2572, jpeg=17505
