Epoch 1, Train Loss: 110598480.0000, Valid Loss: 547113.1875, SSIM MAE: 1.1501, Size MAE: 0.5643, Best Vloss: inf, Best SSIM MAE: inf, Best Size MAE: inf
Epoch 31, Train Loss: 2078971.5000, Valid Loss: 835.2744, SSIM MAE: 0.9076, Size MAE: 0.0282, Best Vloss: 880.4146, Best SSIM MAE: 0.911479, Best Size MAE: 0.027227
Epoch 32, Train Loss: 1823588.2500, Valid Loss: 809.2217, SSIM MAE: 0.9037, Size MAE: 0.0282, Best Vloss: 835.2744, Best SSIM MAE: 0.907649, Best Size MAE: 0.027227
Epoch 33, Train Loss: 1566566.7500, Valid Loss: 811.1563, SSIM MAE: 0.8997, Size MAE: 0.0283, Best Vloss: 809.2217, Best SSIM MAE: 0.903738, Best Size MAE: 0.027227
Epoch 34, Train Loss: 1624656.7500, Valid Loss: 819.8560, SSIM MAE: 0.8956, Size MAE: 0.0285, Best Vloss: 809.2217, Best SSIM MAE: 0.899686, Best Size MAE: 0.027227
Epoch 35, Train Loss: 1528987.6250, Valid Loss: 830.2125, SSIM MAE: 0.8914, Size MAE: 0.0287, Best Vloss: 809.2217, Best SSIM MAE: 0.895572, Best Size MAE: 0.027227
Epoch 36, Train Loss: 1432619.7500, Valid Loss: 842.1652, SSIM MAE: 0.8872, Size MAE: 0.0290, Best Vloss: 809.2217, Best SSIM MAE: 0.891363, Best Size MAE: 0.027227
Epoch 37, Train Loss: 1446918.0000, Valid Loss: 853.6589, SSIM MAE: 0.8829, Size MAE: 0.0292, Best Vloss: 809.2217, Best SSIM MAE: 0.887175, Best Size MAE: 0.027227
Epoch 38, Train Loss: 1387240.6250, Valid Loss: 866.3198, SSIM MAE: 0.8785, Size MAE: 0.0294, Best Vloss: 809.2217, Best SSIM MAE: 0.882904, Best Size MAE: 0.027227
Epoch 39, Train Loss: 1420249.3750, Valid Loss: 880.1244, SSIM MAE: 0.8741, Size MAE: 0.0296, Best Vloss: 809.2217, Best SSIM MAE: 0.878520, Best Size MAE: 0.027227
Epoch 40, Train Loss: 1469581.6250, Valid Loss: 892.3425, SSIM MAE: 0.8695, Size MAE: 0.0299, Best Vloss: 809.2217, Best SSIM MAE: 0.874065, Best Size MAE: 0.027227
Epoch 41, Train Loss: 1513520.0000, Valid Loss: 904.6921, SSIM MAE: 0.8650, Size MAE: 0.0301, Best Vloss: 809.2217, Best SSIM MAE: 0.869541, Best Size MAE: 0.027227
Epoch 42, Train Loss: 1288976.3750, Valid Loss: 916.7844, SSIM MAE: 0.8604, Size MAE: 0.0303, Best Vloss: 809.2217, Best SSIM MAE: 0.864993, Best Size MAE: 0.027227
Epoch 43, Train Loss: 1625273.0000, Valid Loss: 928.8429, SSIM MAE: 0.8557, Size MAE: 0.0305, Best Vloss: 809.2217, Best SSIM MAE: 0.860401, Best Size MAE: 0.027227
Epoch 44, Train Loss: 1298973.7500, Valid Loss: 941.9277, SSIM MAE: 0.8509, Size MAE: 0.0307, Best Vloss: 809.2217, Best SSIM MAE: 0.855680, Best Size MAE: 0.027227
Epoch 45, Train Loss: 1197647.8750, Valid Loss: 956.2042, SSIM MAE: 0.8461, Size MAE: 0.0309, Best Vloss: 809.2217, Best SSIM MAE: 0.850920, Best Size MAE: 0.027227
Epoch 46, Train Loss: 1142087.1250, Valid Loss: 968.5609, SSIM MAE: 0.8412, Size MAE: 0.0311, Best Vloss: 809.2217, Best SSIM MAE: 0.846120, Best Size MAE: 0.027227
Epoch 47, Train Loss: 1281342.1250, Valid Loss: 980.9981, SSIM MAE: 0.8363, Size MAE: 0.0313, Best Vloss: 809.2217, Best SSIM MAE: 0.841237, Best Size MAE: 0.027227
Epoch 48, Train Loss: 1136337.8750, Valid Loss: 994.8686, SSIM MAE: 0.8313, Size MAE: 0.0315, Best Vloss: 809.2217, Best SSIM MAE: 0.836285, Best Size MAE: 0.027227
Epoch 49, Train Loss: 1167713.6250, Valid Loss: 1006.9261, SSIM MAE: 0.8262, Size MAE: 0.0317, Best Vloss: 809.2217, Best SSIM MAE: 0.831302, Best Size MAE: 0.027227
Epoch 50, Train Loss: 1209620.5000, Valid Loss: 1021.7214, SSIM MAE: 0.8212, Size MAE: 0.0320, Best Vloss: 809.2217, Best SSIM MAE: 0.826232, Best Size MAE: 0.027227
Epoch 51, Train Loss: 1068767.2500, Valid Loss: 1031.3164, SSIM MAE: 0.8160, Size MAE: 0.0321, Best Vloss: 809.2217, Best SSIM MAE: 0.821175, Best Size MAE: 0.027227
Epoch 52, Train Loss: 1176140.0000, Valid Loss: 1043.8191, SSIM MAE: 0.8108, Size MAE: 0.0323, Best Vloss: 809.2217, Best SSIM MAE: 0.816033, Best Size MAE: 0.027227
Epoch 53, Train Loss: 1022133.8750, Valid Loss: 1053.7788, SSIM MAE: 0.8056, Size MAE: 0.0325, Best Vloss: 809.2217, Best SSIM MAE: 0.810837, Best Size MAE: 0.027227
Epoch 54, Train Loss: 1070902.2500, Valid Loss: 1064.3700, SSIM MAE: 0.8003, Size MAE: 0.0326, Best Vloss: 809.2217, Best SSIM MAE: 0.805580, Best Size MAE: 0.027227
Epoch 55, Train Loss: 1070455.7500, Valid Loss: 1074.3513, SSIM MAE: 0.7948, Size MAE: 0.0328, Best Vloss: 809.2217, Best SSIM MAE: 0.800261, Best Size MAE: 0.027227
Epoch 56, Train Loss: 901208.1250, Valid Loss: 1082.7528, SSIM MAE: 0.7894, Size MAE: 0.0329, Best Vloss: 809.2217, Best SSIM MAE: 0.794839, Best Size MAE: 0.027227
Epoch 57, Train Loss: 914437.8750, Valid Loss: 1088.8595, SSIM MAE: 0.7838, Size MAE: 0.0330, Best Vloss: 809.2217, Best SSIM MAE: 0.789382, Best Size MAE: 0.027227
Epoch 58, Train Loss: 911158.2500, Valid Loss: 1093.5144, SSIM MAE: 0.7782, Size MAE: 0.0331, Best Vloss: 809.2217, Best SSIM MAE: 0.783804, Best Size MAE: 0.027227
Epoch 59, Train Loss: 850985.0000, Valid Loss: 1102.5646, SSIM MAE: 0.7726, Size MAE: 0.0332, Best Vloss: 809.2217, Best SSIM MAE: 0.778193, Best Size MAE: 0.027227
Epoch 60, Train Loss: 956949.8750, Valid Loss: 1111.7736, SSIM MAE: 0.7670, Size MAE: 0.0333, Best Vloss: 809.2217, Best SSIM MAE: 0.772605, Best Size MAE: 0.027227
Epoch 61, Train Loss: 937544.6250, Valid Loss: 1120.6090, SSIM MAE: 0.7613, Size MAE: 0.0335, Best Vloss: 809.2217, Best SSIM MAE: 0.766951, Best Size MAE: 0.027227
Epoch 62, Train Loss: 851855.1875, Valid Loss: 1127.7614, SSIM MAE: 0.7556, Size MAE: 0.0336, Best Vloss: 809.2217, Best SSIM MAE: 0.761311, Best Size MAE: 0.027227
Epoch 63, Train Loss: 850807.4375, Valid Loss: 1137.0021, SSIM MAE: 0.7498, Size MAE: 0.0337, Best Vloss: 809.2217, Best SSIM MAE: 0.755601, Best Size MAE: 0.027227
Epoch 64, Train Loss: 819271.1250, Valid Loss: 1145.9308, SSIM MAE: 0.7441, Size MAE: 0.0338, Best Vloss: 809.2217, Best SSIM MAE: 0.749831, Best Size MAE: 0.027227
Epoch 65, Train Loss: 790653.8750, Valid Loss: 1153.7252, SSIM MAE: 0.7382, Size MAE: 0.0340, Best Vloss: 809.2217, Best SSIM MAE: 0.744073, Best Size MAE: 0.027227
Epoch 66, Train Loss: 847422.0625, Valid Loss: 1160.4227, SSIM MAE: 0.7323, Size MAE: 0.0341, Best Vloss: 809.2217, Best SSIM MAE: 0.738198, Best Size MAE: 0.027227
Epoch 67, Train Loss: 801174.6250, Valid Loss: 1166.0151, SSIM MAE: 0.7264, Size MAE: 0.0341, Best Vloss: 809.2217, Best SSIM MAE: 0.732310, Best Size MAE: 0.027227
Epoch 68, Train Loss: 801014.8125, Valid Loss: 1169.9562, SSIM MAE: 0.7204, Size MAE: 0.0342, Best Vloss: 809.2217, Best SSIM MAE: 0.726402, Best Size MAE: 0.027227
Epoch 69, Train Loss: 774615.8750, Valid Loss: 1173.1233, SSIM MAE: 0.7143, Size MAE: 0.0342, Best Vloss: 809.2217, Best SSIM MAE: 0.720386, Best Size MAE: 0.027227
Epoch 70, Train Loss: 995305.2500, Valid Loss: 1175.0389, SSIM MAE: 0.7083, Size MAE: 0.0343, Best Vloss: 809.2217, Best SSIM MAE: 0.714324, Best Size MAE: 0.027227
Epoch 71, Train Loss: 738295.1250, Valid Loss: 1176.2355, SSIM MAE: 0.7021, Size MAE: 0.0343, Best Vloss: 809.2217, Best SSIM MAE: 0.708258, Best Size MAE: 0.027227
Epoch 72, Train Loss: 665737.8750, Valid Loss: 1178.9530, SSIM MAE: 0.6959, Size MAE: 0.0343, Best Vloss: 809.2217, Best SSIM MAE: 0.702107, Best Size MAE: 0.027227
Epoch 73, Train Loss: 861141.0000, Valid Loss: 1180.7091, SSIM MAE: 0.6898, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.695938, Best Size MAE: 0.027227
Epoch 74, Train Loss: 722701.0000, Valid Loss: 1181.1842, SSIM MAE: 0.6836, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.689808, Best Size MAE: 0.027227
Epoch 75, Train Loss: 698740.4375, Valid Loss: 1182.3120, SSIM MAE: 0.6774, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.683623, Best Size MAE: 0.027227
Epoch 76, Train Loss: 697274.4375, Valid Loss: 1184.1903, SSIM MAE: 0.6711, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.677377, Best Size MAE: 0.027227
Epoch 77, Train Loss: 640751.3750, Valid Loss: 1184.5258, SSIM MAE: 0.6647, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.671057, Best Size MAE: 0.027227
Epoch 78, Train Loss: 608678.4375, Valid Loss: 1183.3777, SSIM MAE: 0.6584, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.664683, Best Size MAE: 0.027227
Epoch 79, Train Loss: 705074.5625, Valid Loss: 1182.7733, SSIM MAE: 0.6520, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.658360, Best Size MAE: 0.027227
Epoch 80, Train Loss: 548119.6875, Valid Loss: 1183.8661, SSIM MAE: 0.6457, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.652036, Best Size MAE: 0.027227
Epoch 81, Train Loss: 574320.3125, Valid Loss: 1182.7935, SSIM MAE: 0.6393, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.645688, Best Size MAE: 0.027227
Epoch 82, Train Loss: 655159.8750, Valid Loss: 1182.7886, SSIM MAE: 0.6327, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.639297, Best Size MAE: 0.027227
Epoch 83, Train Loss: 569132.8750, Valid Loss: 1182.7236, SSIM MAE: 0.6262, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.632744, Best Size MAE: 0.027227
Epoch 84, Train Loss: 585282.0000, Valid Loss: 1181.9597, SSIM MAE: 0.6196, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.626189, Best Size MAE: 0.027227
